Species,Clade,Subspecies,Latitude,Longitude
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.151,-63.4318
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1484,-68.5828
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1062,-68.2587
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.1051,-65.3785
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.0866,-63.6359
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.07,-67.77
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.07,-67.77
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.07,-67.77
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.06083,-67.76722
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.06083,-67.76722
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.0541,-69.3326
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.0446,-66.9559
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.0446,-66.9559
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.0446,-66.9559
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.91584,-62.9156
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.91584,-62.9156
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.90972,-69.2081
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.90972,-69.2081
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.90972,-69.2081
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.73992,-69.1369
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.73992,-69.1369
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.73655,-63.2318
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.715,-69.6977
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.70043,-68.5638
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.70043,-68.5638
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.58856,-68.1846
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.5758,-62.6251
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.55471,-67.3119
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.51408,-69.2688
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.46532,-64.8302
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.32332,-66.2257
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.1204,-68.1558
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.10616,-61.9912
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.06297,-69.7896
Phacellodomus rufifrons,Northern,inornatus/castilloi,9.03323,-70.1207
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.97657,-69.7802
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.97657,-69.7802
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.95399,-68.3009
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93391,-67.3867
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93364,-68.04865
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
Phacellodomus rufifrons,Northern,inornatus/castilloi,8.93362,-68.0822
